ID,English_Text,Khmer_Text
456,"(Amsterdam, Netherlands)",(ទីក្រុងអាំស្ទែដាំ ប្រទេសហូឡង់)
457,"During the meeting, speakers from the ACM provided an insightful presentation on various topics, including the procedures for investigation, evidence gathering, imposition of pecuniary penalties,",ក្នុងជំនួបនេះ វាគ្មិនពី ACM ក៏បានធ្វើបទបង្ហាញលើប្រធានបទមួយចំនួនរួមមាន នីតិវិធីនៃការស៊ើបអង្កេត ការប្រមូលភស្តុតាង ការកំណត់ទឹកប្រាក់ផាកពិន័យ ការកសាងសំណុំរឿងទៅតុលាការ និងការប្តឹងជំទាស់
458,"Markets (Autoriteit Consument & Markt - ACM), an independent regulatory authority in the Netherlands responsible for ensuring fair competition",ACM) ដែលជាអាជ្ញាធរមានសមត្ថកិច្ច ទទួលខុសត្រូវក្នុងការធានាឱ្យមានការប្រកួតប្រជែងដោយស្មើភាពនិងសុច្ចរិត និងការការពារអ្នកប្រើប្រាស់លើវិស័យនានា នៅក្នុងប្រទេសហូឡង់
459,"During this study visit, CCC members met with Mr",តាមរយៈទស្សនកិច្ចនេះ សមាជិក គ.ប.ក. បានជួបពិភាក្សាជាមួយលោក MartijnSnoep
460,"(Geneva, Switzerland)",(ទីក្រុងហ្សឺណែវ ស៊្វីស)
461,"On the afternoon of Wednesday, 26 June 2024, at the World Trade Organization (WTO) in Geneva, Switzerland, His Excellency SOK Sopheak, Secretary of State of Commerce,",នារសៀលថ្ងៃពុធ ទី២៦ ខែមិថុនា ឆ្នាំ២០២៤ នៅទីស្នាក់ការអង្គការពាណិជ្ជកម្មពិភពលោក (WTO) ក្នុងទីក្រុងហ្សឺណែវ ប្រទេសស្វុីស ឯកឧត្តម សុខ សុភ័ក្ត្រ តំណាងដ៏ខ្ពង់ខ្ពស់របស់ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញចូលរួមកិច្ចពិភាក្សាស្ដីពី “ពាណិជ្ជកម្ម ហិរញ្ញវត្ថុ គំលាតវិនិយោគ និងតួនាទីនៃកិច្ចសហប្រតិបត្តិការអន្តរជាតិ និងជំនួយសម្រាប់ពាណិជ្ជកម្ម” ដែលសហការរៀបចំឡើងដោយអង្គការ UNCTAD
462,the Sustainable Development Goals (TESS),Environment & SDGs (TESS)
463,"This special event was attended by the representatives of the missions to the WTO, negotiators,",ព្រឹត្តិការណ៍ពិសេសនេះត្រូវបានចូលរួមដោយតំណាងអង្គទូត អ្នកចរចា និងមន្ត្រីតំណាងប្រទេសសមាជិកអង្គការ WTO ព្រមទាំងបណ្តាស្ថាប័នអន្តរជាតិពាក់ព័ន្ធផងដែរ
464,"On the afternoon of Wednesday, 26 June 2024, at the WTO, Geneva, Switzerland, His Excellency SOK Sopheak, Secretary of State of Commerce,",នារសៀលថ្ងៃពុធ ទី២៦ ខែមិថុនា ឆ្នាំ២០២៤ នៅទីស្នាក់ការអង្គការពាណិជ្ជកម្មពិភពលោក (WTO) ក្នុងទីក្រុងហ្សឺណែវ ប្រទេសស្វ៊ីស ឯកឧត្តម សុខ សុភ័ក្ត្រ រដ្ឋលេខាធិការ តំណាងដ៏ខ្ពង់ខ្ពស់របស់ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានថ្លែងសុន្ទរកថាគន្លឹះក្នុងព្រឹត្តិការណ៍ “អបអរសាទរដំណើរ២០ឆ្នាំ របស់កម្ពុជាក្នុងនាមជាសមាជិកអង្គការ WTO” ដែលត្រូវបានប្រារព្ធឡើងនៅកំឡុងកិច្ចប្រជុំស្តីពីការពិនិត្យឡើងវិញជាសកលលើកទី៩លើជំនួយសម្រាប់ពាណិជ្ជកម្ម
465,Excellency Secretary of State emphasised that Cambodia’s structural socio-economic transformation has been driven by its integration into the global economy through the multilateral trading system of the WTO for the last 20 years,ថ្លែងក្នុងព្រឹត្តិការណ៍នេះ ឯកឧត្តមរដ្ឋលេខាធិការ បានលើកអំពីបរិវត្តកម្មសង្គមសេដ្ឋកិច្ចដ៏ធំធេង ដែលចូលរួមចំណែកពីការធ្វើសមាហរណកម្មក្នុងប្រព័ន្ធពហុភាគីនៃអង្គការ WTO ក្នុងរយៈពេល២០ ឆ្នាំនេះ
466,"(Geneva, Switzerland)",(ហ្សឺណែវ
467,"On the afternoon of Thursday, 27 June 2024, during the 9th Global Review of Aid for Trade at the World Trade Organization (WTO), His Excellency SUON Prasith, Ambassador",នារសៀលថ្ងៃព្រហស្បតិ៍ ទី២៧ ខែមិថុនា ឆ្នាំ២០២៤ នៅអំឡុងពេលព្រឹត្តិការណ៍ការត្រួតពិនិត្យជំនួយសម្រាប់ពាណិជ្ជកម្មសកលលើកទី៩ (9th Global Review of Aid for Trade) ដែលប្រព្រឹត្តទៅនៅទីស្នាក់ការអង្គការពាណិជ្ជកម្មពិភពលោក (WTO) ឯកឧត្តម សួន ប្រសិទ្ធ អគ្គរាជទូត និងជាតំណាងអចិន្ត្រៃយ៍កម្ពុជាប្រចាំអង្គការ WTO និងអង្គការអន្តរជាតិ ពាក់ព័ន្ធនឹងវិស័យសេដ្ឋកិច្ច ពាណិជ្ជកម្ម នៅទីក្រុងហ្សឺណែវ សហព័ន្ធស្វ៊ីស បានអញ្ជើញចូលរួមថ្លែងសុន្ទរកថា នៅក្នុងកិច្ចពិភាក្សាក្រោមប្រធានបទ “Empowering Inclusive Digital Trade” ដែលសហការចូលរួមរៀបចំដោយស្ថានបេសកកម្មអចិន្ត្រៃយ៍កម្ពុជា អង្គភាព Global Alliance for Trade Facilitation និងអង្គការ WTO
468,"His Excellency the Ambassador also highlighted CambodiaTrade, a national e-commerce platform established to increase economic opportunities for Cambodian MSMEs, especially provincial women-led",ជាមួយគ្នានេះ ឯកឧត្តមអគ្គរាជទូត ក៏បានបញ្ជាក់ពីថ្នាលពាណិជ្ជកម្មតាមប្រព័ន្ធអេឡិចត្រូនិចរបស់កម្ពុជា ហៅថា CambodiaTrade ដែលត្រូវបានបង្កើតឡើងក្នុងគោលដៅបង្កើនកាលានុវត្តភាពរបស់សហគ្រាសមីក្រូ ធុនតូច និងមធ្យម (MSMEs) ជាពិសេសសហគ្រាសនៅតាមបណ្តាខេត្តនិងសហគ្រាសដែលដឹកនាំដោយស្ត្រី ក្នុងការទាញយកអត្ថប្រយោជន៍ពីពាណិជ្ជកម្មតាមប្រព័ន្ធអេឡិចត្រូនិចឆ្លងដែន និងសេដ្ឋកិច្ចឌីជីថល ព្រមទាំងគម្រោងមួយចំនួនទៀតដែលបានអនុវត្តដោយជោគជ័យ ក្រោមកិច្ចសហប្រតិបត្តិការជាមួយអង្គភាព Global Alliance for Trade Facilitation
469,"(Geneva, Switzerland)",(ហ្សឺណែវ ស្វ៊ីស)
470,"On the afternoon of Thursday, 27 June 2024, in Urumqi City, Xinjiang Province of the People's Republic of China, Her Excellency SEREI Borapich, Secretary of State of Commerce",នារសៀលថ្ងៃព្រហស្បតិ៍ ទី២៧ ខែមិថុនា ឆ្នាំ២០២៤ នៅទីក្រុង Urumqi ខេត្ត Xinjiang សាធារណៈរដ្ឋប្រជាមានិតចិន លោកជំទាវ សេរី បូរាពេជ្រ រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម និងជាតំណាងដ៏ខ្ពង់ខ្ពស់របស់ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញចូលរួមកិច្ចប្រជុំតុមូល 2024 China
471,"(Xinjiang, China)",(Xinjiang
472,"(Xinjiang, China)",ចិន)
473,"In conjunction with the conference, Her Excellency the Secretary of State also met with representatives of the Chinese government",អមជាមួយនឹងកិច្ចប្រជុំតុមូលនេះ លោកជំទាវរដ្ឋលេខាធិការ ក៏បានជួបពិភាក្សាការងារជាមួយតំណាងរដ្ឋាភិបាលចិន និងប្រទេសដៃគូ ដទៃទៀតដែលបានចូលរួម ព្រមទាំងតំណាងសមាគម និងពាណិជ្ជករនៃសាធារណរដ្ឋប្រជាមានិតចិន ដើម្បីពិភាក្សា ស្វែងរកទីផ្សារជូនផលិតផលសក្តានុពលរបស់កម្ពុជា ទៅកាន់ទីផ្សារអន្តរជាតិផងដែរ
474,"(Nanning, China PRC)",(ណាននីង ចិន)
475,The Meeting agreed to organize its 8th Round in August 2024 in Viet Nam,កិច្ចប្រជុំបានឯកភាពរៀបចំកិច្ចប្រជុំលើកទី៨ នៅខែសីហា ឆ្នាំ២០២៤ នៅប្រទេសវៀតណាម ៕
476,"On 24 to 28 June 2024, in Nanning, China PRC, His Excellency TITH Rithipol, Under Secretary of State of Commerce,",២៨ ខែមិថុនា ឆ្នាំ២០២៤ នៅទីក្រុងណាននីង នៃសាធារណរដ្ឋប្រជាមានិតចិន ឯកឧត្តម ទិត រិទ្ធីពល អនុរដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម និងជាប្រធានគណៈកម្មាធិការចម្រុះសម្រាប់ភាគីកម្ពុជា បានដឹកនាំគណៈប្រតិភូកម្ពុជាចូលរួមកិច្ចប្រជុំលើកទី៧ របស់គណៈកម្មាធិការចម្រុះចរចាដំឡើងកម្រិតកិច្ចព្រមព្រៀងពាណិជ្ជកម្មសេរីអាស៊ាន
477,"On that sideline, some related working groups’ meetings were also organized, such as the Working Groups on Trade in Goods, Investment, Digital Economy, Green Economy, Sanitary",នៅក្នុងឱកាសនោះ កិច្ចប្រជុំរបស់ក្រុមការងារពាក់ព័ន្ធមួយចំនួនក៏ត្រូវបានរៀបចំឡើងផងដែរ រួមមាន
478,(Phnom Penh),(ភ្នំពេញ)
479,"Head of the Public Administration Reform Working Group of the Ministry of Commerce, accompanied by representatives from relevant departments, co-chaired the third meeting with His Excellency SUON Reasmey, Deputy Secretary-General of the General Secretariat of the Public Administration Reform Committee of the Ministry of Civil Service, to discuss the ongoing review of the structure",នារសៀលថ្ងៃអង្គារ ទី២ ខែកក្កដា ឆ្នាំ២០២៤ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម វ៉េង សុធី រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម និងជាប្រធានក្រុមការងារកែទម្រង់រដ្ឋបាលសាធារណៈ នៃក្រសួងពាណិជ្ជកម្ម អមដោយតំណាងមកពីនាយកដ្ឋានពាក់ព័ន្ធ បានអញ្ជើញជាគណៈអធិបតីដឹកនាំកិច្ចប្រជុំពិភាក្សាការងារជាលើកទី៣ ជាមួយប្រតិភូនៃអគ្គលេខាធិការដ្ឋានគណៈកម្មាធិការកែទម្រង់រដ្ឋបាលសាធារណៈ (អ.គ.ក.ស.) ដែលដឹកនាំដោយ ឯកឧត្តម សួន រស្មី អគ្គលេខាធិការរង និងជាប្រធានក្រុមការងារបច្ចេកទេសគាំទ្រវិស័យសេដ្ឋកិច្ច ទាក់ទងនឹងដំណើរការពិនិត្យឡើងវិញ និងការវិភាគមុខងាររបស់ក្រសួងពាណិជ្ជកម្ម
480,"On July 1st -2nd, 2024, the working group to study the possibility of establishing wholesale markets in the capital",នាថ្ងៃទី១ និងទី២ ខែកក្កដា ឆ្នាំ២០២៤ ក្រុមការងារ​ចំពោះកិច្ច​សិក្សាពី​លទ្ធភាព​បង្កើត​ផ្សារ​លក់ដុំទំនិញ នៅតាមបណ្តារាជធានី
481,… (Battambang,(បាត់ដំបង និងកំពង់ធំ)
482,provinces under the management of the Ministry of Commerce study visited the development of local agricultural markets in Battambang,ខេត្ត ក្រោមការគ្រប់គ្រងរបស់ក្រសួងពាណិជ្ជកម្ម បានចុះទស្សនកិច្ចសិក្សា និងប្រជុំពិភាក្សាការងារអភិវឌ្ឍន៍ទីផ្សារកសិផលក្នុងស្រុក នៅខេត្តបាត់ដំបង និងខេត្តកំពង់ធំ ដែលក្នុងនោះ​ចែកជា​ ២ក្រុម រួមមាន
483,"vegetable cultivation, harvesting, transportation, demands",ផ្លែឈើ ការប្រមូលផល ការដឹកជញ្ជូន តម្រូវការនិង​ការ​ផ្គត់ផ្គង់​ក្នុង​ខេត្ត បញ្ហាប្រឈម និងសំណូមពរ
484,"Kampong Thom province, separated in two groups, The 1st group, led His Excellency SEANG Thay, Secretary of State of Commerce",ក្រុមការងារទី១ ដឹកនាំដោយ ឯកឧត្តម ស៊ាង ថៃ រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម និងជាប្រធានក្រុមការងារ បានបំពេញបេសកកម្មការងារទៅកាន់ខេត្តបាត់ដំបង និងក្រុមការងារទី២ ដឹកនាំដោយ ឯកឧត្តម អ៊ុំ កុសល អនុរដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម និងជាអនុប្រធានក្រុមការងារ បាន​បំពេញ​ទស្សនកិច្ច​សិក្សា​នៅខេត្តកំពង់ធំ
485,"The team then visited Phu Puy wholesale market to directly inspect the activities of trade, supplies",បន្ទាប់មក ក្រុមការងារបានចុះទស្សនកិច្ចនៅផ្សារលក់ដុំភួពុយ ដើម្បី​ពិនិត្យ​ដោយ​ផ្ទាល់​អំពី​សកម្មភាព​លក់ដូរ ការផ្គត់ផ្គង់ និងចែកចាយកសិផល ព្រមទាំងបានចុះទស្សនកិច្ចនៅសហគម ផលិត​កសិផល ដើម្បី​សាកសួរពីស្ថានភាពនៃការប្រមូលផល និងចែកចាយកសិផលផងដែរ
486,"The 2nd group, met with the Vice Governor of Kampong Thom province, officials of the Provincial Department of Commerce,",ដោយឡែកក្រុមការងារទី២ បានជួបប្រជុំជាមួយអភិបាលរងខេត្តកំពង់ធំ មន្ត្រីនៃមន្ទីរពាណិជ្ជកម្ម និង​អាជីវករ​មួយ​ចំនួន ដើម្បីពិភាក្សាការងារពាក់ព័ន្ធនឹងការផលិត ការផ្គត់ផ្គង់ និងលំហូរនៃកសិផល ជាពិសេស បន្លែ ផ្លែឈើ សកម្មភាព​ទីផ្សារក្នុងខេត្ត ព្រមទាំងស្ដាប់ពីបញ្ហាប្រឈម និងសំណូមពរនានា បន្ទាប់មក​ក៏បាន​ចុះ​ទស្សនកិច្ចដោយផ្ទាល់នៅសហគមផលិតកសិផល និងកសិដ្ឋានមួយចំនួន​ផងដែរ
487,"On the morning of Wednesday, 3 July 2024, His Excellency TAT Puthsodary, Secretary of State of Commerce, highly representative of Her Excellency CHAM Nimul, Minister of Commerce, presided over the opening ceremony of the training on “Training of Trainers on Trade Development,"" organized by the Trade Training",នាព្រឹកថ្ងៃពុធ ទី៣ ខែកក្កដា ឆ្នាំ២០២៤ ឯកឧត្ដម តាត ពុធសូដារី រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម តំណាងដ៏ខ្ពង់ខ្ពស់របស់ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញជាអធិបតីក្នុងពិធីបើកវគ្គបណ្ដុះបណ្ដាលស្ដីពី “ជំនាញគ្រូបង្គោលសម្រាប់ការអភិវឌ្ឍពាណិជ្ជកម្ម” ដែលរៀបចំដោយ វិទ្យាស្ថានបណ្ដុះបណ្ដាលពាណិជ្ជកម្ម និងស្រាវជ្រាវ
488,” … (Phnom Penh),(ភ្នំពេញ)
489,(Phnom Penh),(ភ្នំពេញ)
490,"On the morning of Monday, 8 July 2024, His Excellency TAT Puthsodary, Secretary of State of Commerce, high representative of Her Excellency CHAM Nimul, Minister of Commerce, presided over the opening ceremony of Training on “Trade Statistics",នាព្រឹកថ្ងៃចន្ទ ទី០៨ ខែកក្កដា ឆ្នាំ២០២៤ ឯកឧត្ដម តាត ពុធសូដារី រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម តំណាងដ៏ខ្ពង់ខ្ពស់របស់ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញជាអធិបតីក្នុងពិធីបើកវគ្គបណ្ដុះបណ្ដាលស្ដីពី “ការវិភាគនិងវាយតម្លៃទិន្នន័យពាណិជ្ជកម្មសម្រាប់ទីផ្សារនាំចេញ” ដែលរៀបចំដោយ វិទ្យាស្ថានបណ្ដុះបណ្ដាលពាណិជ្ជកម្មនិងស្រាវជ្រាវ
491,(Phnom Penh),(ភ្នំពេញ)
492,"On the morning of Wednesday, 10 July 2024, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, presided over the second Breakfast Meeting with the Business Associations in Cambodia, which was attended by Excellencies",នាព្រឹកថ្ងៃពុធ ទី១០ ខែកក្កដា ឆ្នាំ២០២៤ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្រ្តីក្រសួងពាណិជ្ជកម្ម អញ្ជើញជាអធិបតីក្នុងជំនួូបអាហារការងារពេលព្រឹកលើកទី២ ជាមួយសមាគមពាណិជ្ជកម្មនៅកម្ពុជា ដែលមានវត្តមានអញ្ជើញចូលរួមពីឯកឧត្តម លោកជំទាវថ្នាក់ដឹកនាំ និងមន្ត្រីជំនាញនៃក្រសួងពាណិជ្ជកម្ម និងតំណាងសមាគមពាណិជ្ជកម្មនៅកម្ពុជាជាច្រើនរូប
493,"The purpose of this breakfast meeting is to share the achievements of the Ministry of Commerce in the provision of public services in support of the private sectors, as well as to hear about the challenges",ជំនួបនេះ ត្រូវបានរៀបចំឡើងក្នុងគោលបំណងចែករំលែកពីសមិទ្ធផលការងារសម្រេចបានកន្លងមករបស់ក្រសួងពាណិជ្ជកម្មលើការផ្តល់សេវាសាធារណៈនានា នៅក្នុងការគាំទ្រដល់វិស័យឯកជន ព្រមទាំងទទួលស្តាប់ពីបញ្ហាប្រឈមនានា និងសំណូមពរផ្សេងជុំវិញការធ្វើឱ្យប្រសើរឡើងនូវបរិយាកាសធុរកិច្ច
494,efficient response measures,ពាណិជ្ជកម្ម ដើម្បីដាក់ចេញនូវវិធានការឆ្លើយតបដែលមានប្រសិទ្ធភាព និងប្រសិទ្ធផលខ្ពស់
495,(Phnom Penh),(ភ្នំពេញ)
496,Australia,អូស្រ្តាលី
497,"On the afternoon of Tuesday, July 9, 2024, at Wing Tower, Phnom Penh, His Excellency SAM Sithisak, Undersecretary of State of Commerce, delivered a presentation on the topic of Trade Beyond Cambodia in the Business Networking Event between Cambodia",នារសៀលថ្ងៃអង្គារ ទី៩ ខែកក្កដា ឆ្នាំ២០២២៤ នៅអគារ Wing Tower រាជធានីភ្នំពេញ ឯកឧត្តម សំ សិទ្ធិស័ក្តិ អនុរដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញចូលរួមធ្វើបទបង្ហាញពាក់ព័ន្ធនឹងប្រធានបទ Trade Beyond Cambodia នៅក្នុងកម្មវិធី Business Networking រវាងកម្ពុជា
498,The meeting was held under the chairmanship of Lao PDR in 2024 to review,វៀតណាម (CLMV) លើកទី២៧ ដែលកិច្ចប្រជុំនេះ ត្រូវបានរៀបចំឡើងក្រោមភាពជាប្រធានរបស់ឡាវឆ្នាំ២០២៤ ក្នុងគោលបំណងពិនិត្យ និងពិភាក្សាលើវឌ្ឍនភាពនៃការអនុវត្តផែនការសកម្មភាពឆ្នាំ២០២៣
499,This meeting was hosted under the 2024 ASEAN Chairmanship of Lao PDR to review progress,កិច្ចប្រជុំនេះត្រូវបានរៀបចំឡើងក្រោមភាពជាប្រធានអាស៊ានរបស់ប្រទេសឡាវឆ្នាំ២០២៤ ក្នុងគោលបំណងតាមដានវឌ្ឍនភាពការងារ ក៏ដូចជាពិភាក្សាលើរបៀបវារៈសំខាន់ៗមួយចំនួននៃសមាហរណកម្មសេដ្ឋកិច្ចអាស៊ាន រួមមាន
500,"From 9 to 12 July 2024 in Vientiane, Lao PDR, His Excellency LONG Kemvichet, Director of the General Department of International Trade",១២ ខែកក្កដា ឆ្នាំ២០២៤ នៅរដ្ឋធានីវៀងច័ន្ទន៍ ប្រទេសឡាវ ឯកឧត្តម ឡុង កែមវិចិត្រ អគ្គនាយកនៃអគ្គនាយកដ្ឋានពាណិជ្ជកម្មអន្តរជាតិ និងជាឧត្តមមន្រ្តីសេដ្ឋកិច្ចអាស៊ានតំណាងកម្ពុជា បានដឹកនាំគណៈប្រតិភូកម្ពុជា ចូលរួមកិច្ចប្រជុំឧត្តមមន្រ្តីសេដ្ឋកិច្ចអាស៊ានលើកទី៣ (SEOM3/55)
501,"These included the Priority Economic Deliverables (PEDs) for Lao PDR's ASEAN Chairmanship, Annual Priorities for 2024, the Progress of ASEAN Economic Integration, the current status of the signing",សមិទ្ធផលអាទិភាពសេដ្ឋកិច្ចក្រោមភាពជាប្រធានអាស៊ានរបស់ឡាវ ការងារអាទិភាពប្រចាំឆ្នាំ២០២៤ វឌ្ឍនភាពនៃដំណើរការសមារណកម្មសេដ្ឋកិច្ចអាស៊ាន បច្ចុប្បន្នភាពនៃការចុះហត្ថលេខា និងផ្ដល់សច្ចាប័នលើកិច្ចព្រមព្រៀងសេដ្ឋកិច្ចអាស៊ានពាក់ព័ន្ធ របាយការណ៍របស់ក្រុមការងារពាក់ព័ន្ធ  ព្រមទាំងកិច្ចពិភាក្សាផ្ទៃក្នុងអាស៊ានត្រៀមសម្រាប់ការកិច្ចពិគ្រោះយោបល់ជាមួយដៃគូសន្ទនាអាស៊ាន
502,"(Vientiane, Lao PDR)",ឡាវ)
503,"discuss the Implementation Status of the CLMV Action Plan 2023-2024, the Framework for CLMV Development, Terms of Reference (TOR) of CLMV,",២០២៤ ក្របខណ្ឌសម្រាប់ការអភិវឌ្ឍនៃប្រទេស CLMVលក្ខខណ្ឌយោងនៃឧត្តមមន្ត្រីសេដ្ឋកិច្ចប្រទេស CLMV និងបញ្ហាផ្សេងៗ
504,(Svay Rieng),(ស្វាយរៀង)
505,The two companies are,ក្រុមហ៊ុនទាំងពីរនោះ រួមមាន
506,"On Friday, 12 July 2024, Ministry of Commerce officials, led by His Excellency KHIM Phally, Representative Chief of Ministry of Commerce to Manhattan Special Economic Zone Administration, inspected the two newly established companies located in the Manhattan (Svay Rieng) Special Economic Zone to meet the requirements for GSP registration at the Ministry",នាថ្ងៃសុក្រ ទី១២ ខែកក្កដា ឆ្នាំ២០២៤ នេះ មន្ត្រីជំនាញនៃក្រសួងពាណិជ្ជកម្ម ដែលដឹកនាំដោយ ឯកឧត្តម ឃឹម ផល្លី ប្រធានតំណាងក្រសួងពាណិជ្ជកម្មប្រចាំរដ្ឋបាលតំបន់សេដ្ឋកិច្ចពិសេសមេនហាតធេន បានចុះពិនិត្យក្រុមហ៊ុនទើបបង្កើតថ្មីចំនួន២ នៅតំបន់សេដ្ឋកិច្ចពិសេស មេនហាតធេន (ស្វាយរៀង) ដើម្បីរៀបចំបំពេញឯកសារពាក់ព័ន្ធសម្រាប់ការចុះបញ្ជីក្នុងប្រព័ន្ធអនុគ្រោះពាណិជ្ជកម្មនៅក្រសួងពាណិជ្ជកម្ម
507,", which has registered one hundred percent capital of 5 million USD as Foreign Direct Investment (FDI) to establish the factory producing",ក្រុមហ៊ុន អៃរុយ ប្រេក ស៊ីស្ទឹម (ខេមបូឌា) ឯ.ក មានដើមទុនចុះបញ្ជីវិនិយោគចំនួន ៥.០០០.០០០ (ប្រាំលាន) ដុល្លារអាម៉េរិក ជាទុនវិនិយោគដោយផ្ទាល់ពីបរទេស ១០០ភាគរយ ដើម្បីបង្កើតរោងចក្រផលិត និងផ្គុំដំឡើងហ្វ្រាំងគ្រប់ប្រភេទ
508,The initial export destinations of the companies include the United States of America,តាមការបញ្ជាក់ ក្រុមហ៊ុនទាំងពីរនេះមានគោលដៅនាំចេញដំបូងគឺសហរដ្ឋអាមេរិក និងកាណាដា៕
509,(Phnom Penh),(ភ្នំពេញ)
510,"On the morning of Friday, 12 July 2024, His Excellency CHEANG  Christophe, Secretary of State of Commerce, presided over the Opening Ceremony of the Cambodia, Singapore,",នាព្រឹកថ្ងៃសុក្រទី១២ ខែកក្កដា ឆ្នាំ២០២៤ ឯកឧត្តម ឈាង គ្រីស្តុហ្វ រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញជាអធិបតីក្នុងពិធីបើកកិច្ចជំនួបពាណិជ្ជកម្មកម្ពុជា សិង្ហបុរី និងម៉ាឡេស៊ី ដែលមានការចូលរួមពីអនុព័ន្ធពាណិជ្ជកម្មកម្ពុជាប្រចាំសាធារណរដ្ឋសិង្ហបុរី ម៉ាឡេស៊ី លោកអគ្គនាយករង និងមន្ត្រីតំណាងនាយកដ្ឋានចំណុះឱ្យអគ្គនាយកដ្ឋានជំរុញពាណិជ្ជកម្ម ព្រមទាំងមានការចូលរួមតាមប្រព័ន្ធវីដេអនឡាញពីបណ្តាក្រុមហ៊ុនវិស័យឯកជនកម្ពុជា សិង្ហបុរី និងម៉ាឡេស៊ី ជាច្រើនរូប
511,(Phnom Penh),(ភំ្នពេញ)
512,institutions under the three pillars of the ASEAN Community also attended the meeting,ស្ថាប័នពាក់ព័ន្ធក្រោមសសរស្តម្ភសហគមន៍អាស៊ានទាំងបី
513,"International Cooperation (MFAIC), His Excellency SEANG Thai, Secretary of State of Commerce, accompanied by His Excellency TITH Rithipol, Undersecretary of State of Commerce",នាព្រឹកថ្ងៃពុធ ទី១០ ខែកក្កដា ឆ្នាំ២០២៤ នៅទីស្ដីការក្រសួងការបរទេស និងសហប្រតិបត្តិការអន្តរជាតិ ឯកឧត្តម ស៊ាង ថៃ រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម អមដោយឯកឧត្តម ទិត រិទ្ធីពល អនុរដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម និងក្រុមការងារ បានចូលរួមកិច្ចប្រជុំរួមនៃលេខាធិការដ្ឋានក្រុមប្រឹក្សាសហគមន៍អាស៊ានទាំងបី ក្រោមអធិបតីភាព ឯកឧត្តម សុខ ចិន្តាសោភា ឧបនាយករដ្ឋមន្រ្តី រដ្ឋមន្រ្តីក្រសួងការបរទេស និងសហប្រតិបត្តិការអន្តរជាតិ ដែលមានការអញ្ជើញចូលរួមពីថ្នាក់ដឹកនាំ និងមន្រ្តីជំនាញពីក្រសួង
514,"The report focused on Lao PDR's Priority Economic Deliverables (PEDs) under the ASEAN Chairmanship in 2024, themed ""Enhancing Connectivity",ក្នុងឱកាសនោះ តំណាងក្រសួងពាណិជ្ជកម្ម បានធ្វើសេចក្តីរាយការណ៍ជូនអង្គប្រជុំអំពីវឌ្ឍនភាពការងារក្រោមសសរស្តម្ភសហគមន៍សេដ្ឋកិច្ចអាស៊ាន ដោយផ្តោតសំខាន់លើសមិទ្ធផលសេដ្ឋកិច្ចជាអាទិភាព ក្រោមភាពជាប្រធានរបស់ប្រទេសឡាវក្នុងឆ្នាំ២០២៤ ក្រោមមូលបទ ការលើកកម្ពស់ការតភ្ជាប់ និងភាពធន់រឹងមាំ ដែលរំពឹងថានឹងអាចសម្រេចឱ្យបាននូវសមិទ្ធផលអាទិភាពសេដ្ឋកិច្ចចំនួន១៤ ស្ថិតក្រោមសសរស្តម្ភសហគមន៍សេដ្ឋកិច្ចអាស៊ាន
515,(Phnom Penh),(ភ្នំពេញ)
516,"China have enhanced bilateral ties from a steel friendship to a diamond friendship, with the governments of the two countries committed to jointly promoting the building of a Cambodia-China community with a shared future",ចិន បានបង្កើនចំណងមិត្តភាពទ្វេភាគីពីមិត្តភាពដែកថែប ទៅជាមិត្តភាពត្បូងពេជ្រ ដោយរដ្ឋាភិបាលនៃប្រទេសទាំងពីរ បានប្តេជ្ញាខិតខំរួមគ្នាជំរុញការកសាងសហគមន៍ជោគវាសនាតែមួយកម្ពុជា
